Description,Price,Category,Shop Name,Shop Function
Animal Fat (per pound), 2 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Animal Hides (per hide), 2 gp,Item,Marrowmere Slaughterhouse ,Abittoir
Bacon (per pound), 4 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Beef (per pound), 3 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Bones (per pound), 2 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Chicken (whole), 5 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Heart (each), 2 cp,Item,Marrowmere Slaughterhouse ,Abittoir
Jerky (per pound), 5 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Kidneys (per pair), 5 cp,Item,Marrowmere Slaughterhouse ,Abittoir
Lamb (per pound), 4 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Lamb Chops (per pound), 6 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Liver (per pound), 1 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Marrow Bones (per pair), 5 cp,Item,Marrowmere Slaughterhouse ,Abittoir
Pâté (per jar), 1 gp,Item,Marrowmere Slaughterhouse ,Abittoir
Pork (per pound), 2 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Pork Belly (per pound), 4 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Prime Rib (per pound), 6 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Sausages (per pound), 3 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Tenderloin (per pound), 8 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Tongue (each), 5 sp,Item,Marrowmere Slaughterhouse ,Abittoir
Blood Pudding Rendering (per jar), 3 sp,Service,Marrowmere Slaughterhouse ,Abittoir
Bone Meal Rendering (per pound), 5 cp,Service,Marrowmere Slaughterhouse ,Abittoir
Butchering Fee (per animal), 1 gp,Service,Marrowmere Slaughterhouse ,Abittoir
Custom Cuts (per request), Varies (1 gp minimum),Service,Marrowmere Slaughterhouse ,Abittoir
Delivery Service (local), 1 gp (flat-rate),Service,Marrowmere Slaughterhouse ,Abittoir
Lard Rendering (per pound), 2 sp,Service,Marrowmere Slaughterhouse ,Abittoir
Slaughtering Fee (per animal), 2 gp,Service,Marrowmere Slaughterhouse ,Abittoir
Tallow Rendering (per pound), 1 sp,Service,Marrowmere Slaughterhouse ,Abittoir
Alchemy Scale (each), 5 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Alembic (each), 10 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Basilisk Eye (each), 75 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Belladonna Leaves (per ounce), 5 sp,Item,The Mystic Elixir Apothecary ,Alchemist
Calcination Furnace (each), 50 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Charcoal (per pound), 1 sp,Item,The Mystic Elixir Apothecary ,Alchemist
Chimera Scale (per scale), 10 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Copper Filings (per ounce), 2 sp,Item,The Mystic Elixir Apothecary ,Alchemist
Copper Wire (per foot), 1 sp,Item,The Mystic Elixir Apothecary ,Alchemist
Crucible (each), 5 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Distillation Kit (set), 20 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Dragon’s Blood (per vial), 25 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Fairy Dust (per pinch), 5 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Filtration Funnel (each), 1 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Glass Phials (per dozen), 5 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Gold Chain (per foot), 10 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Gold Leaf (per sheet), 5 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Gorgon’s Gaze (per crystal), 100 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Griffon Feather (each), 20 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Heating Lamp (each), 15 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Iron Nails (per dozen), 2 sp,Item,The Mystic Elixir Apothecary ,Alchemist
Iron Shavings (per ounce), 1 sp,Item,The Mystic Elixir Apothecary ,Alchemist
Kraken Ink (per vial), 30 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Lead Ingots (per pound), 5 sp,Item,The Mystic Elixir Apothecary ,Alchemist
Mandrake Root (per ounce), 10 sp,Item,The Mystic Elixir Apothecary ,Alchemist
Manticore Tail Spike (each), 15 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Mercury (per pound), 10 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Mortar and Pestle (set), 2 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Nymph’s Tears (per drop), 50 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Phoenix Feather (each), 50 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Retort (each), 10 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Salt (per pound), 5 cp,Item,The Mystic Elixir Apothecary ,Alchemist
Silver Powder (per ounce), 10 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Silver Thread (per yard), 5 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Sublimation Apparatus (set), 30 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Sulfur (per pound), 2 sp,Item,The Mystic Elixir Apothecary ,Alchemist
Tin Bars (per pound), 2 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Troll Blood (per vial), 50 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Unicorn Horn (per inch), 100 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Wyvern Venom (per vial), 75 gp,Item,The Mystic Elixir Apothecary ,Alchemist
Alchemical Consultation, 10 gp,Service,The Mystic Elixir Apothecary ,Alchemist
Custom Alchemical Formula (Basic), 50 gp,Service,The Mystic Elixir Apothecary ,Alchemist
Custom Alchemical Formula (Complex), 200 gp,Service,The Mystic Elixir Apothecary ,Alchemist
Identification of Alchemical Ingredients, 2-5 gp per item,Service,The Mystic Elixir Apothecary ,Alchemist
Potion Brewing (Common), 100 gp plus cost of materials,Service,The Mystic Elixir Apothecary ,Alchemist
Potion Brewing (Rare),  750 gp plus cost of materials,Service,The Mystic Elixir Apothecary ,Alchemist
Potion Brewing (Uncommon), 300 gp plus cost of materials,Service,The Mystic Elixir Apothecary ,Alchemist
Bee Pollen (small pouch), 5 sp,Item,The Honeyed Hive,Apiary
Beekeeping Book (basic guide),  5 sp,Item,The Honeyed Hive,Apiary
Beeswax (1 pound),  5 sp,Item,The Honeyed Hive,Apiary
Beeswax Candles (pair), 1 sp,Item,The Honeyed Hive,Apiary
Beeswax Lip Balm, 5 cp,Item,The Honeyed Hive,Apiary
Beeswax Polish (for furniture and leather),  1 sp,Item,The Honeyed Hive,Apiary
Beeswax Soap (bar), 3 cp,Item,The Honeyed Hive,Apiary
Beeswax Thread (small bundle), 1 sp,Item,The Honeyed Hive,Apiary
Beeswax Wraps (for food preservation),  2 sp per wrap,Item,The Honeyed Hive,Apiary
Honey (1 pound),  5 sp,Item,The Honeyed Hive,Apiary
Honey-glazed Nuts (bag), 5 cp,Item,The Honeyed Hive,Apiary
Propolis Tincture (small bottle),  2 sp,Item,The Honeyed Hive,Apiary
Raw Honeycomb,  2 sp per comb,Item,The Honeyed Hive,Apiary
Royal Jelly (small vial), 10 sp,Service,The Honeyed Hive,Apiary
Bee Removal, 2 gp per hive,Service,The Honeyed Hive,Apiary
Beehive Installation, 5 gp per hive,Service,The Honeyed Hive,Apiary
Beehive Rental (seasonal),  5 sp per month,Service,The Honeyed Hive,Apiary
Beekeeping Lesson (basic), 1 gp per hour,Service,The Honeyed Hive,Apiary
Custom Hive Design, 10 gp per design,Service,The Honeyed Hive,Apiary
Hive Inspection, 1 sp per hive,Service,The Honeyed Hive,Apiary
Honey Extraction (per pound), 1 sp per pound of honey extracted,Service,The Honeyed Hive,Apiary
Pollination Services (per acre), 1 gp per acre,Service,The Honeyed Hive,Apiary
Armor Rack (holds up to 3 sets of armor), 15 gp,Item,Steel Sentinel Armory,Armorer
Armor Stand, 5 gp,Item,Steel Sentinel Armory,Armorer
Arrows (set of 10), 5 sp,Item,Steel Sentinel Armory,Armorer
Bowstring (replacement), 5 sp,Item,Steel Sentinel Armory,Armorer
Chainmail Links (per pound), 2 gp,Item,Steel Sentinel Armory,Armorer
Coif (Chainmail Hood), 15 gp,Item,Steel Sentinel Armory,Armorer
Leather Belt, 1 gp,Item,Steel Sentinel Armory,Armorer
Leather Gloves (pair), 2 gp,Item,Steel Sentinel Armory,Armorer
Leather Straps (per yard), 1 gp,Item,Steel Sentinel Armory,Armorer
Metal Plates (per pound), 5 gp,Item,Steel Sentinel Armory,Armorer
Oil for Armor Maintenance (flask), 1 gp,Item,Steel Sentinel Armory,Armorer
Padded Undergarments, 5 gp,Item,Steel Sentinel Armory,Armorer
Polish for Armor (jar), 2 gp,Item,Steel Sentinel Armory,Armorer
Potion Belt (holds up to 4 vials), 10 gp,Item,Steel Sentinel Armory,Armorer
Quiver (holds up to 20 arrows), 1 gp,Item,Steel Sentinel Armory,Armorer
Scabbard (sword), 5 gp,Item,Steel Sentinel Armory,Armorer
Sword Care Kit, 3 gp,Item,Steel Sentinel Armory,Armorer
Wax for Armor Waterproofing (block), 3 gp,Item,Steel Sentinel Armory,Armorer
Weapon Cleaning Kit, 5 gp,Item,Steel Sentinel Armory,Armorer
Weapon Rack (holds up to 5 weapons), 10 gp,Item,Steel Sentinel Armory,Armorer
Weapon Sharpening Stone, 1 gp,Item,Steel Sentinel Armory,Armorer
Weapon Sheath, 2 gp,Item,Steel Sentinel Armory,Armorer
Weapon Stand, 3 gp,Item,Steel Sentinel Armory,Armorer
Wooden Shield (practice), 3 gp,Item,Steel Sentinel Armory,Armorer
Wooden Training Sword, 1 gp,Item,Steel Sentinel Armory,Armorer
Armor Appraisal, 25 gp,Service,Steel Sentinel Armory,Armorer
Armor Cleaning and Polishing, 2 gp,Service,Steel Sentinel Armory,Armorer
Armor Repair, 5+ gp,Service,Steel Sentinel Armory,Armorer
Custom Armor Fitting, 20 gp,Service,Steel Sentinel Armory,Armorer
Custom Weapon Crafting, 25+ gp,Service,Steel Sentinel Armory,Armorer
Weapon Appraisal, 10 gp,Service,Steel Sentinel Armory,Armorer
Weapon Maintenance (per weapon), 5 gp,Service,Steel Sentinel Armory,Armorer
Weapon Sharpening, 1 gp,Service,Steel Sentinel Armory,Armorer
Astrolabe, 25 gp,Item,Celestial Whispers,Astrologer
Astrological Quill Set, 6 gp,Item,Celestial Whispers,Astrologer
Astrological Readings Manuscript, 50 gp,Item,Celestial Whispers,Astrologer
Celestial Globe, 15 gp,Item,Celestial Whispers,Astrologer
Ephemeris Scroll showing star and planet positions by date, 8 gp,Item,Celestial Whispers,Astrologer
Lunar Calendar, 2 gp,Item,Celestial Whispers,Astrologer
Starlight Lantern, 12 gp,Item,Celestial Whispers,Astrologer
Stellar Compass, 20 gp,Item,Celestial Whispers,Astrologer
Zodiacal Talisman, 5 gp,Item,Celestial Whispers,Astrologer
Astrological Consultation, 15 gp per session,Service,Celestial Whispers,Astrologer
Astrological Lesson, 1 gp per session,Service,Celestial Whispers,Astrologer
Basic Natal Chart Reading, 10 gp,Service,Celestial Whispers,Astrologer
Celestial Blessing Ritual, 2 gp,Service,Celestial Whispers,Astrologer
Customized Horoscope, 15 gp,Service,Celestial Whispers,Astrologer
Dream Analysis, 8 gp,Service,Celestial Whispers,Astrologer
Marriage Compatibility Reading, 5 gp,Service,Celestial Whispers,Astrologer
Antique Style Hand Mirror, 2 gp,Item,Crown & Comb,Barber
Aromatherapy Essential Oils, 1 sp per vial,Item,Crown & Comb,Barber
"Barber’s Kit (razors, shears, combs)", gp,Item,Crown & Comb,Barber
Bloodletting Kit, 10 gp,Item,Crown & Comb,Barber
Fine Quality Straight Razor, 10 gp,Item,Crown & Comb,Barber
Fragrant Beard Oil, 1 sp per bottle,Item,Crown & Comb,Barber
Hair Tonic (stimulates hair growth), 3 sp per vial,Item,Crown & Comb,Barber
Horn Comb, 5 sp,Item,Crown & Comb,Barber
Leather Barber’s Apron, 3 sp,Item,Crown & Comb,Barber
Linen Towels (set of 5), 1 sp,Item,Crown & Comb,Barber
Porcelain Mug and Shaving Soap, 2 sp each,Item,Crown & Comb,Barber
Reg’s Tonic, 3 gp per bottle,Item,Crown & Comb,Barber
Soothing Aftershave Balm, 2 sp per jar,Item,Crown & Comb,Barber
Specialized Herbal Shampoo, 1 sp per bottle,Item,Crown & Comb,Barber
Beard Trim, 8 cp,Service,Crown & Comb,Barber
Bloodletting, 1 gp,Service,Crown & Comb,Barber
Ear Candling, 2 sp,Service,Crown & Comb,Barber
Facial Massage with Herbal Oils, 5 sp,Service,Crown & Comb,Barber
"Full Tonsorial Services (Haircut, Shave, and Beard Trim)", 2 sp,Service,Crown & Comb,Barber
Hair Wash, 4 cp,Service,Crown & Comb,Barber
Haircut, 2 sp,Service,Crown & Comb,Barber
Medicinal Herbal Hair Treatment, 3 sp,Service,Crown & Comb,Barber
Minor Surgery, 1-20 gp,Service,Crown & Comb,Barber
Relaxing Hot Towel Treatment, 2 sp,Service,Crown & Comb,Barber
Shave, 5 cp,Service,Crown & Comb,Barber
Tooth Extraction, 2 gp,Service,Crown & Comb,Barber
